,0,1
1471,receive,1
1472,mother,146
1473,simultaneous,8
1474,interpreter,9
1475,mrs,86
1476,introduce,4
1477,cure,4
1478,tb,16
1479,somewhere,14
1480,upper,6
1481,buddy's,3
1482,arranged,5
1483,job,10
1484,sanatorium,6
1485,lonely,2
1486,understand,9
1487,chose,1
1488,bureau,13
1489,warped,1
1490,reflection,3
1491,ball,7
1492,dentist's,1
1493,mercury,3
1494,crawling,1
1495,bed-sheets,1
1496,appealed,3
1497,stuffing,2
1498,dirty,9
1499,scrawled-over,1
1500,letter,25
1501,fresh,8
1502,clean,20
1503,envelope,7
1504,bath,8
1505,quite,26
1506,don't,5
1507,whenever,4
1508,sad,7
1509,die,11
1510,love,18
1511,slump,1
1512,far,12
1513,meditate,1
1514,needs,2
1515,putting,6
1516,foot,14
1517,lower,5
1518,neck,14
1519,ceilings,4
1520,bathtub,2
1521,stretched,8
1522,texture,1
1523,cracks,1
1524,colours,4
1525,damp,3
1526,spots,3
1527,fixtures,1
1528,tubs,4
1529,antique,1
1530,griffin-legged,1
1531,modern,3
1532,coffin-shaped,1
1533,fancy,3
1534,overlooking,4
1535,indoor,1
1536,lily,1
1537,ponds,3
1538,shapes,6
1539,taps,2
1540,sorts,5
1541,soap-holders,1
1542,tub,7
1543,seventeenth,1
1544,for-women-only,1
1545,jazz,1
1546,push,8
1547,growing,2
1548,believe,6
1549,baptism,1
1550,waters,1
1551,jordan,1
1552,religious,2
1553,holy,2
1554,dissolving,5
1555,sticky,1
1556,kisses,2
1557,dirt,4
1558,settled,2
1559,longer,8
1560,purer,1
1561,wrapped,5
1562,soft,6
1563,bath-towels,1
1564,asleep,8
1565,knocking,4
1566,pay,12
1567,attention,5
1568,knock,4
1569,sounded,22
1570,bumping,1
1571,sharp,10
1572,tap-tap,1
1573,crisper,1
1574,miss,42
1575,greenwood,28
1576,wants,5
1577,swung,6
1578,dizzily,1
1579,angry,5
1580,waking,1
1581,wake,5
1582,spoil,3
1583,peace,6
1584,mumbled,1
1585,hissing,2
1586,split,4
1587,personality,2
1588,blinked,1
1589,impression,5
1590,lurid,3
1591,third,5
1592,interval,3
1593,slipped,11
1594,slumped,2
1595,door-jamb,1
1596,toppled,1
1597,arms,13
1598,chest,3
1599,fell,13
1600,its,60
1601,roots,2
1602,hula,1
1603,fringe,3
1604,recognized,6
1605,squat,2
1606,moustached,1
1607,uniform,8
1608,maid,8
1609,ironed,1
1610,day-dresses,1
1611,party-frocks,1
1612,crowded,4
1613,cubicle,2
1614,leading,2
1615,quietly,13
1616,supported,1
1617,hiccups,1
1618,strode,4
1619,ancient,1
1620,singer,1
1621,sewing-machine,1
1622,ironing-board,1
1623,stern,2
1624,hard-working,1
1625,moral,1
1626,old-style,1
1627,european,1
1628,immigrant,1
1629,austrian,1
1630,grandmother,11
1631,lem,4
1632,muttering,1
1633,carried,8
1634,threshold,2
1635,helped,7
1636,rid,2
1637,body,16
1638,warm,12
1639,pile,7
1640,pillows,4
1641,weight,7
1642,spiked,2
1643,heels,3
1644,foolishly,1
1645,heavy,7
1646,budge,2
1647,dump,2
1648,carpet,5
